ID,Relationship,Business,Criminal,Family,Financial,Law Enforcement,Rival,ViolenceMurder,Other,Informant,Friendship
Alan Tam,Dan Xin Lin,0,1,0,0,0,0,0,0,0,0
Alan Tam,FBI,0,0,0,0,0,0,0,0,1,0
Alan Tam,Guo Liang Qi,0,1,0,0,0,0,0,0,0,0
Alan Tam,Guo Liang Qi,0,0,0,0,0,0,0,0,0,1
Alan Tam,Guo Liang Qun,0,1,0,0,0,0,0,0,0,0
Alan Tam,Guo Liang Wang,0,1,0,0,0,0,0,0,0,0
Amir Tobing,Kin Sin Lee,0,1,0,0,0,0,0,0,0,0
Amir Tobing,Lee Peng Fei,0,1,0,0,0,0,0,0,0,0
Amir Tobing,Sam Lwin,0,1,0,0,0,0,0,0,0,0
Bankok Immigration Officials,Susan Cheng,0,1,0,0,0,0,0,0,0,0
Biao Chen,Cheng Chui Ping,0,0,0,1,0,0,0,0,0,0
Chao Lin Feng,Chang Lian Lin,0,0,0,0,0,0,1,0,0,0
Chao Lin Feng,Cho Lee Lin,0,1,0,0,0,0,0,0,0,0
Chao Lin Feng,Dan Xin Lin,0,1,0,0,0,0,0,0,0,0
Chao Lin Feng,Guan Sheng Li,0,0,0,0,0,0,1,0,0,0
Chao Lin Feng,Guo Liang Qi,0,1,0,0,0,0,0,0,0,0
Chao Lin Feng,Guo Liang Qi,0,0,0,0,0,1,0,0,0,0
Chao Lin Feng,Guo Liang Qun,0,0,0,0,0,0,1,0,0,0
Chao Lin Feng,Guo Liang Wang,0,0,0,0,0,0,1,0,0,0
Chao Lin Feng,Jeffrey Zhu,0,1,0,0,0,0,0,0,0,0
Chao Lin Feng,Lin Yun,0,1,0,0,0,0,0,0,0,0
Chao Lin Feng,Shing Chung,0,1,0,0,0,0,0,0,0,0
Chao Lin Feng,Simon Lau,0,1,0,0,0,0,0,0,0,0
Chao Lin Feng,Yu Ping Zhang,0,0,0,0,0,0,1,0,0,0
Cheng Chai Leung,Cheng Chui Ping,0,0,1,0,0,0,0,0,0,0
Cheng Chai Leung,Cheng Mei Yeung,0,0,1,0,0,0,0,0,0,0
Cheng Chai Leung,Susan Cheng,0,0,1,0,0,0,0,0,0,0
Cheng Chui Ping,Cheng Chai Leung,0,0,1,0,0,0,0,0,0,0
Cheng Chui Ping,Cheng Hui Mui,0,0,1,0,0,0,0,0,0,0
Cheng Chui Ping,Cheng Mei Yeung,0,0,1,0,0,0,0,0,0,0
Cheng Chui Ping,Cheng Mei Yeung,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Cheng Yik Tak,0,0,1,0,0,0,0,0,0,0
Cheng Chui Ping,Cheng Yik Tak,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,FBI,0,0,0,0,0,0,0,0,1,0
Cheng Chui Ping,Gloria Canales,0,0,0,0,0,1,0,0,0,0
Cheng Chui Ping,Guo Liang Qi,1,0,0,0,0,0,0,0,0,0
Cheng Chui Ping,Guo Liang Qi,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Guo Liang Qi,0,0,0,0,0,1,0,0,0,0
Cheng Chui Ping,Guo Liang Qi,0,0,0,1,0,0,0,0,0,0
Cheng Chui Ping,Guo Liang Qi,0,0,0,0,0,0,0,0,1,0
Cheng Chui Ping,Larry Hay,0,0,0,1,0,0,0,0,0,0
Cheng Chui Ping,Lee Peng Fei,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Lee Peng Fei,0,0,0,1,0,0,0,0,0,0
Cheng Chui Ping,Peter Lee,0,0,0,0,0,0,0,0,0,1
Cheng Chui Ping,Public Security Officials,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Susan Cheng,0,0,1,0,0,0,0,0,0,0
Cheng Chui Ping,Susan Cheng,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Terry Honesburger,0,0,0,1,0,0,0,0,0,0
Cheng Chui Ping,Wai Wei Cheng,0,0,1,0,0,0,0,0,0,0
Cheng Chui Ping,Wang Kong Fu,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Wang Kong Fu,0,0,0,0,0,0,0,0,0,1
Cheng Chui Ping,Weng Yu Hui,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Weng Yu Hui,0,0,0,1,0,0,0,0,0,0
Cheng Chui Ping,Golden Venture Passengers,0,1,0,0,0,0,0,0,0,0
Cheng Chui Ping,Weng Yu Hui,0,0,0,0,0,1,0,0,0,0
Cheng Hui Mui,Cheng Chui Ping,0,0,1,0,0,0,0,0,0,0
Cheng Hui Mui,Cheng Yik Tak,0,0,1,0,0,0,0,0,0,0
Cheng Mei Yeung,Golden Venture Passengers,0,1,0,0,0,0,0,0,0,0
Cheng Mei Yeung,Cheng Chui Ping,0,0,1,0,0,0,0,0,0,0
Cheng Mei Yeung,Cheng Chui Ping,0,1,0,0,0,0,0,0,0,0
Cheng Mei Yeung,Lau Xing Bau,0,1,0,0,0,0,0,0,0,0
Cheng Mei Yeung,Lee Peng Fei,0,1,0,0,0,0,0,0,0,0
Cheng Mei Yeung,Public Security Officials,0,1,0,0,0,0,0,0,0,0
Cheng Mei Yeung,Susan Cheng,0,0,1,0,0,0,0,0,0,0
Cheng Yik Tak,Cheng Chui Ping,0,0,1,0,0,0,0,0,0,0
Cheng Yik Tak,Cheng Chui Ping,0,1,0,0,0,0,0,0,0,0
Cheng Yik Tak,Cheng Hui Mui,0,0,1,0,0,0,0,0,0,0
Cheng Yik Tak,Minh Hoang,0,1,0,0,0,0,0,0,0,0
Cheng Yik Tak,Susan Cheng,0,0,1,0,0,0,0,0,0,0
Cheng Yik Tak,Wai Wei Cheng,0,0,1,0,0,0,0,0,0,0
Cheng Yik Tak,Wang Kong Fu,0,0,0,0,0,1,0,0,0,0
Cheng Yik Tak,Guo Liang Qi,0,0,0,1,0,0,0,0,0,0
Cho Lee Lin,Chang Lian Lin,0,0,0,0,0,0,1,0,0,0
Cho Lee Lin,Chao Lin Feng,0,1,0,0,0,0,0,0,0,0
Cho Lee Lin,Dan Xin Lin,0,1,0,0,0,0,0,0,0,0
Cho Lee Lin,Guan Sheng Li,0,0,0,0,0,0,1,0,0,0
Cho Lee Lin,Guo Liang Qi,0,1,0,0,0,0,0,0,0,0
Cho Lee Lin,Guo Liang Qi,0,0,0,0,0,1,0,0,0,0
Cho Lee Lin,Guo Liang Qun,0,0,0,0,0,0,1,0,0,0
Cho Lee Lin,Guo Liang Wang,0,0,0,0,0,0,1,0,0,0
Cho Lee Lin,Jeffrey Zhu,0,1,0,0,0,0,0,0,0,0
Cho Lee Lin,Lin Yun,0,1,0,0,0,0,0,0,0,0
Cho Lee Lin,Shing Chung,0,1,0,0,0,0,0,0,0,0
Cho Lee Lin,Simon Lau,0,1,0,0,0,0,0,0,0,0
Cho Lee Lin,Yu Ping Zhang,0,0,0,0,0,0,1,0,0,0
Cho Yee Yeung,Guo Liang Qi,0,1,0,0,0,0,0,0,0,0
Dan Xin Lin,Alan Tam,0,1,0,0,0,0,0,0,0,0
Dan Xin Lin,Chang Lian Lin,0,0,0,0,0,0,1,0,0,0
